"","Date","Open","High","Low","Close","Adj.Close","Volume","shifted_close","returns"
"92","2011-08-01",15.99,15.99,12.68,14.22,2.222277,0,2.519206,-0.117866105431632
"93","2011-09-01",13.92,13.97,12.48,12.5,1.953479,0,2.222277,-0.120956118431681
"94","2011-10-01",11.78,15.53,11.78,15.01,2.345737,0,1.953479,0.200799701455711
"95","2011-11-01",14.43,15.35,13.32,14.77,2.308231,0,2.345737,-0.0159890047349724
"96","2011-12-01",14.66,15,12.86,13.63,2.130073,0,2.308231,-0.0771837827323176
"97","2012-01-01",13.9,15.17,13.9,15.08,2.55507,0,2.130073,0.199522269894037
"98","2012-02-01",15.44,16.200001,15.44,15.91,2.695701,0,2.55507,0.0550399793352041
"99","2012-03-01",16,16.49,15.21,16.16,2.73806,0,2.695701,0.0157135379628526
"100","2012-04-01",16.290001,16.290001,15.04,15.69,2.658425,0,2.73806,-0.0290844612608928
"101","2012-05-01",15.75,15.79,14.04,14.26,2.416134,0,2.658425,-0.0911408070568099
"102","2012-06-01",13.7,14.88,13.6,14.88,2.521183,0,2.416134,0.0434781349047695
"103","2012-07-01",15,15.22,13.98,14.6,2.473743,0,2.521183,-0.0188165634942011
"104","2012-08-01",14.35,15.59,14.14,15.43,2.614372,0,2.473743,0.0568486702135187
"105","2012-09-01",15.49,16.74,15.47,15.7,2.66012,0,2.614372,0.0174986574213616
"106","2012-10-01",15.69,15.87,15.13,15.3,2.592346,0,2.66012,-0.0254777979940755
"107","2012-11-01",15.64,15.8,14.71,15.71,2.661814,0,2.592346,0.0267973488106912
"108","2012-12-01",15.66,15.69,13.34,14.03,2.377164,0,2.661814,-0.106938351064349
"109","2013-01-01",14.36,15.22,14.36,15.06,3.016113,0,2.377164,0.268786251179977
"110","2013-02-01",15.26,15.95,15.04,15.6,3.124261,0,3.016113,0.0358567467465576
"111","2013-03-01",15.57,16.48,15.57,16.200001,3.244424,0,3.124261,0.0384612553176575
"112","2013-04-01",15.99,16.07,15.06,15.86,3.176332,0,3.244424,-0.0209873925232954
"113","2013-05-01",15.49,16.940001,15.49,16.85,3.374603,0,3.176332,0.0624213715694708
"114","2013-06-01",16.879999,16.950001,16.120001,16.73,3.350569,0,3.374603,-0.00712202294610653
"115","2013-07-01",16.940001,18.139999,16.93,18.139999,3.632954,0,3.350569,0.0842797148782788
