Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,60.439999,61.310001,53.160000,53.439999,44.282722,349279400
2020-02-01,53.369999,55.400002,43.520000,45.270000,37.512695,485131500
2020-03-01,46.279999,47.990002,22.879999,29.059999,24.080387,985547400
2020-04-01,28.120001,39.080002,27.230000,38.000000,32.193069,926736400
2020-05-01,37.220001,40.360001,34.299999,38.759998,32.836929,580936200
2020-06-01,38.700001,46.880001,36.320000,37.849998,32.065994,675198700
2020-07-01,38.000000,38.549999,34.240002,36.029999,30.915537,526808900
2020-08-01,36.020000,39.529999,35.360001,35.650002,30.589483,417823100
2020-09-01,35.490002,35.900002,29.540001,29.950001,25.698595,599301300
2020-10-01,29.620001,31.650000,26.980000,28.719999,25.048624,603600500
2020-11-01,29.110001,40.419998,28.570000,36.759998,32.060837,850894000
2020-12-01,37.779999,42.080002,36.689999,37.900002,33.055115,675059500
2021-01-01,38.340000,45.000000,37.509998,39.320000,34.752254,652916700
2021-02-01,39.799999,50.810001,38.939999,48.150002,42.556477,628897300
2021-03-01,49.419998,54.369999,47.259998,49.060001,43.360764,885872600
2021-04-01,49.279999,51.290001,46.250000,49.389999,44.115582,555156100
2021-05-01,49.959999,55.139999,49.799999,52.209999,46.634434,623988300
2021-06-01,53.240002,56.650002,52.290001,53.869999,48.117161,641287000
2021-07-01,55.099998,55.270000,46.299999,49.389999,44.566437,600481300
2021-08-01,49.419998,50.619999,45.139999,48.400002,43.673126,557580700
2021-09-01,48.349998,53.830002,46.470001,52.090000,47.002747,681521800
2021-10-01,52.470001,59.410000,52.470001,57.470001,52.487347,694428900
2021-11-01,58.040001,59.400002,54.139999,54.590000,49.857037,599113400
2021-12-01,55.869999,57.869999,51.660000,55.500000,50.688137,602001400
2022-01-01,55.580002,67.059998,55.549999,65.919998,60.984268,853839200
2022-02-01,65.529999,70.660004,65.360001,70.580002,65.295364,764541500
2022-03-01,71.209999,80.220001,70.290001,76.440002,70.716599,1085340600
2022-04-01,76.339996,81.510002,71.000000,75.150002,70.188210,645446800
2022-05-01,74.690002,90.459999,74.459999,87.199997,81.442596,783477100
2022-06-01,88.300003,93.309998,69.470001,71.510002,66.788544,775796100
2022-07-01,72.379997,78.660004,65.480003,78.419998,74.063667,557473400
2022-08-01,77.080002,85.180000,70.690002,80.500000,76.028114,532195100
2022-09-01,79.309998,82.970001,68.660004,72.019997,68.019188,601290000
2022-10-01,74.610001,91.180000,74.489998,90.000000,85.927132,555284300
2022-11-01,91.510002,94.709999,87.290001,91.150002,87.025093,520024000
2022-12-01,91.790001,92.250000,82.650002,87.470001,83.511620,435098100
2023-01-01,86.919998,93.150002,82.830002,89.930000,86.744614,354812300
2023-02-01,89.510002,90.669998,82.790001,83.690002,80.725639,341436500
2023-03-01,83.760002,87.690002,75.360001,82.830002,79.896095,581018200
2023-04-01,86.320000,87.739998,82.690002,85.129997,82.971626,320778300
2023-05-01,84.059998,85.080002,76.330002,76.589996,74.648140,440470100
2023-06-01,76.769997,82.519997,76.250000,81.169998,79.112022,423318100
2023-07-01,81.370003,87.730003,78.489998,87.480003,86.013031,375679900
2023-08-01,87.129997,90.000000,84.970001,88.919998,87.428886,417123400
2023-09-01,89.900002,93.690002,89.010002,90.389999,88.874229,407018500
2023-10-01,90.269997,92.559998,84.089996,85.190002,84.379539,522041800
2023-11-01,85.730003,87.680000,82.110001,84.580002,83.775337,408909000
2023-12-01,84.480003,86.169998,80.739998,83.839996,83.042374,375218900
